Row,Anon Student Id,Age,Problem Hierarchy,question_id,Step Start Time,Step End Time,Correct First Attempt,Step Duration (sec),Answer Type,KC(Default),skill_id,Opportunity (Default),template_id
15,15,15,2,8,17-07-2023 22:45,17-07-2023 22:51,1,300,Drag the Words,Geometry,3,1,2
21,21,15,2,8,22-07-2023 10:55,22-07-2023 11:00,1,300,Drag the Words,Geometry,3,1,2
24,24,15,2,8,23-07-2023 11:47,23-07-2023 11:54,1,420,Drag the Words,Geometry,3,1,2
26,26,15,2,8,24-07-2023 17:03,24-07-2023 17:04,1,59,Drag the Words,Geometry,3,1,2
1,1,15,2,8,10-07-2023 16:14,10-07-2023 16:16,1,60,Drag the Words,Numbers,4,1,2
5,5,15,2,8,15-07-2023 15:00,15-07-2023 15:06,1,300,Drag the Words,Numbers,4,1,2
8,8,15,2,8,15-07-2023 16:27,15-07-2023 16:28,1,60,Drag the Words,Numbers,4,1,2
11,11,15,2,8,15-07-2023 23:04,15-07-2023 23:05,0,60,Drag the Words,Numbers,4,1,2
12,12,15,2,8,16-07-2023 09:41,16-07-2023 09:41,1,39,Drag the Words,Numbers,4,1,2
13,13,15,2,8,16-07-2023 23:01,16-07-2023 23:08,1,360,Drag the Words,Numbers,4,1,2
15,15,15,2,8,17-07-2023 22:45,17-07-2023 22:51,1,300,Drag the Words,Numbers,4,1,2
21,21,15,2,8,22-07-2023 10:55,22-07-2023 11:00,1,300,Drag the Words,Numbers,4,1,2
24,24,15,2,8,23-07-2023 11:47,23-07-2023 11:54,1,420,Drag the Words,Numbers,4,1,2
26,26,15,2,8,24-07-2023 17:03,24-07-2023 17:04,1,59,Drag the Words,Numbers,4,1,2
1,1,15,1,4,10-07-2023 16:09,10-07-2023 16:10,1,60,Image Choice,Algebra,1,1,3
5,5,15,1,4,15-07-2023 14:50,15-07-2023 14:51,1,60,Image Choice,Algebra,1,1,3
8,8,15,1,4,15-07-2023 16:23,15-07-2023 16:24,0,45,Image Choice,Algebra,1,1,3
11,11,15,1,4,15-07-2023 23:00,15-07-2023 23:01,0,47,Image Choice,Algebra,1,1,3
12,12,15,1,4,16-07-2023 09:39,16-07-2023 09:40,0,20,Image Choice,Algebra,1,1,3
13,13,15,1,4,16-07-2023 22:54,16-07-2023 22:55,1,58,Image Choice,Algebra,1,1,3
15,15,15,1,4,17-07-2023 22:43,17-07-2023 22:44,1,60,Image Choice,Algebra,1,1,3
21,21,15,1,4,22-07-2023 10:51,22-07-2023 10:53,0,60,Image Choice,Algebra,1,1,3
24,24,15,1,4,23-07-2023 11:37,23-07-2023 11:39,1,120,Image Choice,Algebra,1,1,3
26,26,15,1,4,24-07-2023 16:58,24-07-2023 16:58,1,37,Image Choice,Algebra,1,1,3
1,1,15,1,2,10-07-2023 16:03,10-07-2023 16:05,1,120,Mark the Words,Ratio and Proportion,6,1,4
5,5,15,1,2,15-07-2023 14:45,15-07-2023 14:48,1,120,Mark the Words,Ratio and Proportion,6,1,4
8,8,15,1,2,15-07-2023 16:21,15-07-2023 16:22,0,37,Mark the Words,Ratio and Proportion,6,1,4
11,11,15,1,2,15-07-2023 22:59,15-07-2023 22:59,0,39,Mark the Words,Ratio and Proportion,6,1,4
12,12,15,1,2,16-07-2023 09:39,16-07-2023 09:39,0,6,Mark the Words,Ratio and Proportion,6,1,4
13,13,15,1,2,16-07-2023 22:52,16-07-2023 22:53,0,46,Mark the Words,Ratio and Proportion,6,1,4
15,15,15,1,2,17-07-2023 22:38,17-07-2023 22:41,0,120,Mark the Words,Ratio and Proportion,6,1,4
21,21,15,1,2,22-07-2023 10:48,22-07-2023 10:49,0,60,Mark the Words,Ratio and Proportion,6,1,4
24,24,15,1,2,23-07-2023 11:31,23-07-2023 11:33,1,120,Mark the Words,Ratio and Proportion,6,1,4
26,26,15,1,2,24-07-2023 16:56,24-07-2023 16:56,1,17,Mark the Words,Ratio and Proportion,6,1,4
1,1,15,1,6,10-07-2023 16:11,10-07-2023 16:14,1,180,Multiple Choice,Algebra,1,1,5
5,5,15,1,6,15-07-2023 15:00,15-07-2023 15:01,0,9,Multiple Choice,Algebra,1,1,5
8,8,15,1,6,15-07-2023 16:25,15-07-2023 16:25,0,27,Multiple Choice,Algebra,1,1,5
11,11,15,1,6,15-07-2023 23:02,15-07-2023 23:03,1,52,Multiple Choice,Algebra,1,1,5
12,12,15,1,6,16-07-2023 09:41,16-07-2023 09:41,0,2,Multiple Choice,Algebra,1,1,5
13,13,15,1,6,16-07-2023 22:56,16-07-2023 23:03,1,420,Multiple Choice,Algebra,1,1,5
15,15,15,1,6,17-07-2023 22:45,17-07-2023 22:47,0,60,Multiple Choice,Algebra,1,1,5
21,21,15,1,6,22-07-2023 10:55,22-07-2023 10:55,0,44,Multiple Choice,Algebra,1,1,5
24,24,15,1,6,23-07-2023 12:00,23-07-2023 12:10,1,540,Multiple Choice,Algebra,1,1,5
26,26,15,1,6,24-07-2023 17:00,24-07-2023 17:02,1,120,Multiple Choice,Algebra,1,1,5
1,1,15,1,6,10-07-2023 16:11,10-07-2023 16:14,1,180,Multiple Choice,Fractions,2,1,5
5,5,15,1,6,15-07-2023 15:00,15-07-2023 15:01,0,9,Multiple Choice,Fractions,2,1,5
